num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,Internet,RoundTrip,15,31,17,1,AKLKUL,Malaysia,0,0,0,8.83,1
1,Internet,RoundTrip,316,35,16,2,AKLKUL,Malaysia,1,0,0,8.83,0
2,Internet,RoundTrip,232,17,3,2,AKLKUL,Malaysia,1,1,1,8.83,0
1,Internet,RoundTrip,156,19,14,1,AKLKUL,Malaysia,1,0,0,8.83,1
1,Internet,RoundTrip,196,44,23,2,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,283,38,9,1,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,34,24,5,5,AKLKUL,New Zealand,1,0,0,8.83,0
1,Mobile,RoundTrip,63,57,8,1,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,5,18,4,2,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,227,68,2,5,AKLKUL,Malaysia,1,1,0,8.83,0
1,Internet,RoundTrip,181,87,2,2,AKLKUL,Singapore,1,0,1,8.83,1
1,Internet,RoundTrip,8,33,3,2,AKLKUL,New Zealand,0,0,0,8.83,0
2,Internet,RoundTrip,138,35,19,5,AKLKUL,Switzerland,1,0,1,8.83,0
1,Internet,RoundTrip,134,37,20,3,AKLKUL,New Zealand,0,1,0,8.83,0
2,Internet,RoundTrip,8,29,18,4,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,23,51,13,5,AKLKUL,New Zealand,1,0,1,8.83,0
1,Mobile,RoundTrip,57,21,1,7,AKLKUL,Malaysia,1,1,1,8.83,0
2,Internet,RoundTrip,85,19,0,1,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,65,31,23,7,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,OneWay,27,1,13,2,AKLKUL,New Zealand,1,1,0,8.83,0
1,Mobile,RoundTrip,16,77,8,1,AKLKUL,New Zealand,0,0,1,8.83,0
2,Internet,RoundTrip,118,17,8,2,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,90,20,7,4,AKLKUL,Malaysia,0,0,1,8.83,0
1,Internet,RoundTrip,168,41,23,1,AKLKUL,New Zealand,1,0,1,8.83,0
1,Mobile,RoundTrip,127,17,16,2,AKLKUL,Malaysia,1,0,1,8.83,1
2,Mobile,RoundTrip,18,17,6,1,AKLKUL,New Zealand,1,1,1,8.83,0
1,Internet,RoundTrip,153,30,10,2,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,51,21,9,6,AKLKUL,Malaysia,1,0,1,8.83,0
2,Internet,RoundTrip,186,27,2,2,AKLKUL,New Zealand,1,1,1,8.83,0
1,Internet,RoundTrip,5,87,5,2,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,2,18,6,4,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,263,58,4,7,AKLKUL,Malaysia,0,1,0,8.83,0
6,Internet,RoundTrip,172,28,0,6,AKLKUL,New Zealand,0,0,1,8.83,0
4,Internet,RoundTrip,230,29,17,1,AKLKUL,Malaysia,1,0,1,8.83,0
1,Internet,RoundTrip,7,21,0,1,AKLKUL,Indonesia,0,0,0,8.83,0
1,Internet,RoundTrip,42,17,14,2,AKLKUL,Malaysia,0,0,0,8.83,1
1,Internet,RoundTrip,71,29,10,5,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,81,21,4,5,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,140,18,7,7,AKLKUL,China,1,0,0,8.83,0
1,Mobile,RoundTrip,42,72,14,6,AKLKUL,New Zealand,0,0,1,8.83,0
1,Internet,RoundTrip,168,32,2,2,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,285,30,12,3,AKLKUL,Czech Republic,1,1,1,8.83,0
2,Internet,RoundTrip,179,18,11,4,AKLKUL,Malaysia,1,0,1,8.83,0
2,Internet,RoundTrip,341,21,10,6,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,96,51,3,4,AKLKUL,New Zealand,1,0,1,8.83,0
4,Internet,RoundTrip,173,17,1,4,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,180,24,9,3,AKLKUL,New Zealand,0,1,1,8.83,0
4,Internet,RoundTrip,366,17,16,7,AKLKUL,Malaysia,1,0,1,8.83,0
3,Internet,RoundTrip,229,17,13,1,AKLKUL,Malaysia,1,1,1,8.83,1
2,Internet,RoundTrip,174,61,11,2,AKLKUL,Malaysia,1,0,1,8.83,0
2,Internet,RoundTrip,82,25,18,5,AKLKUL,Czech Republic,1,0,0,8.83,0
1,Internet,RoundTrip,75,62,6,1,AKLKUL,Malaysia,0,0,0,8.83,0
2,Internet,RoundTrip,163,21,10,1,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,105,21,8,5,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,276,45,6,1,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,35,31,3,4,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,110,26,23,3,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,83,44,3,6,AKLKUL,Malaysia,1,0,0,8.83,0
1,Mobile,RoundTrip,154,25,22,1,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,118,19,1,2,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,55,20,22,3,AKLKUL,New Zealand,0,0,0,8.83,0
1,Mobile,RoundTrip,45,35,1,6,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,54,23,4,7,AKLKUL,New Zealand,0,0,1,8.83,0
1,Internet,RoundTrip,193,19,13,2,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,10,91,23,2,AKLKUL,Singapore,1,0,0,8.83,1
1,Internet,RoundTrip,166,18,20,3,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,97,25,9,7,AKLKUL,Malaysia,1,0,0,8.83,0
5,Internet,RoundTrip,239,17,12,4,AKLKUL,Malaysia,1,0,1,8.83,0
2,Internet,RoundTrip,97,50,8,6,AKLKUL,New Zealand,1,1,1,8.83,0
1,Internet,RoundTrip,182,28,10,7,AKLKUL,Vietnam,0,0,1,8.83,0
1,Internet,RoundTrip,99,21,13,7,AKLKUL,Singapore,0,0,0,8.83,1
1,Internet,RoundTrip,23,59,9,2,AKLKUL,New Zealand,1,0,1,8.83,0
1,Mobile,RoundTrip,53,18,9,1,AKLKUL,Malaysia,1,1,0,8.83,0
1,Internet,RoundTrip,384,18,5,4,AKLKUL,Malaysia,0,0,0,8.83,0
2,Internet,RoundTrip,22,27,23,5,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,126,28,20,7,AKLKUL,Germany,1,0,0,8.83,0
1,Internet,RoundTrip,8,45,8,2,AKLKUL,Malaysia,0,0,0,8.83,0
2,Internet,RoundTrip,51,29,11,7,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,87,33,9,6,AKLKUL,Thailand,1,0,0,8.83,0
5,Mobile,RoundTrip,238,21,8,5,AKLKUL,New Zealand,1,1,1,8.83,0
2,Internet,RoundTrip,86,34,0,6,AKLKUL,New Zealand,1,0,0,8.83,0
1,Mobile,RoundTrip,313,35,20,6,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,41,20,20,7,AKLKUL,Spain,1,1,1,8.83,0
1,Internet,RoundTrip,91,46,8,3,AKLKUL,New Zealand,1,1,1,8.83,0
1,Mobile,RoundTrip,41,21,12,2,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,82,33,10,2,AKLKUL,New Zealand,1,0,0,8.83,0
5,Internet,RoundTrip,206,17,13,7,AKLKUL,Malaysia,1,0,0,8.83,0
4,Internet,RoundTrip,6,55,5,4,AKLKUL,New Zealand,1,1,0,8.83,0
5,Internet,RoundTrip,197,18,10,5,AKLKUL,Malaysia,1,0,1,8.83,0
1,Internet,RoundTrip,34,22,13,2,AKLKUL,Malaysia,1,0,1,8.83,1
2,Internet,RoundTrip,112,21,17,2,AKLKUL,Malaysia,1,0,0,8.83,0
2,Internet,RoundTrip,268,47,1,1,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,157,26,15,1,AKLKUL,Romania,1,0,1,8.83,0
2,Internet,RoundTrip,145,51,4,3,AKLKUL,Malaysia,1,1,1,8.83,0
4,Internet,RoundTrip,241,24,9,1,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,172,17,9,5,AKLKUL,Ireland,0,0,1,8.83,0
1,Internet,RoundTrip,99,19,7,3,AKLKUL,Malaysia,0,0,0,8.83,0
1,Mobile,RoundTrip,139,22,8,7,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,59,35,13,7,AKLKUL,Malaysia,0,1,0,8.83,1
1,Internet,RoundTrip,396,23,9,1,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,280,18,23,2,AKLKUL,Malaysia,1,0,1,8.83,0
1,Internet,RoundTrip,79,23,10,2,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,37,26,21,3,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,69,19,17,6,AKLKUL,Italy,1,0,0,8.83,0
1,Internet,RoundTrip,380,21,21,4,AKLKUL,New Zealand,1,1,0,8.83,0
5,Internet,RoundTrip,206,17,13,7,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,13,27,1,3,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,229,31,2,5,AKLKUL,New Zealand,0,0,1,8.83,0
1,Internet,RoundTrip,132,20,9,1,AKLKUL,Slovakia,1,0,0,8.83,0
4,Internet,RoundTrip,121,18,6,7,AKLKUL,Malaysia,1,1,1,8.83,0
4,Internet,RoundTrip,316,22,14,4,AKLKUL,Malaysia,1,0,0,8.83,1
5,Internet,RoundTrip,67,35,2,2,AKLKUL,Malaysia,1,1,1,8.83,1
2,Internet,RoundTrip,18,46,2,1,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,58,21,12,3,AKLKUL,United Arab Emirates,1,0,1,8.83,0
2,Internet,RoundTrip,115,87,6,3,AKLKUL,Tonga,0,0,0,8.83,0
1,Internet,RoundTrip,236,91,6,5,AKLKUL,Malaysia,1,0,1,8.83,0
1,Internet,RoundTrip,225,25,6,2,AKLKUL,Germany,1,1,0,8.83,1
1,Internet,RoundTrip,116,56,15,4,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,34,90,7,6,AKLKUL,Malaysia,1,1,0,8.83,0
1,Internet,RoundTrip,191,60,11,7,AKLKUL,Germany,1,0,1,8.83,0
1,Internet,RoundTrip,55,22,7,6,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,13,17,3,7,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,275,36,4,3,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,58,17,7,7,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,45,25,1,1,AKLKUL,New Zealand,0,0,0,8.83,0
2,Internet,RoundTrip,159,21,8,5,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,173,40,8,7,AKLKUL,New Zealand,0,0,0,8.83,0
2,Internet,RoundTrip,92,65,13,1,AKLKUL,Réunion,1,0,0,8.83,0
3,Internet,RoundTrip,316,35,16,2,AKLKUL,Malaysia,0,0,0,8.83,0
2,Internet,RoundTrip,245,27,11,1,AKLKUL,New Zealand,0,0,0,8.83,1
3,Internet,RoundTrip,218,21,8,2,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,67,22,11,1,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,295,18,6,1,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,57,51,3,3,AKLKUL,New Zealand,1,0,1,8.83,0
1,Mobile,RoundTrip,12,20,8,2,AKLKUL,New Zealand,1,0,0,8.83,0
3,Internet,RoundTrip,77,31,0,4,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,7,83,16,2,AKLKUL,Malaysia,1,0,1,8.83,0
1,Mobile,RoundTrip,305,18,3,3,AKLKUL,New Zealand,0,0,0,8.83,0
2,Internet,RoundTrip,235,18,22,2,AKLKUL,Malaysia,1,0,1,8.83,1
1,Internet,RoundTrip,332,17,11,6,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,3,35,6,2,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,56,42,4,4,AKLKUL,Malaysia,1,0,1,8.83,1
2,Internet,RoundTrip,125,85,15,4,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,86,21,2,6,AKLKUL,Malaysia,1,0,0,8.83,0
2,Internet,RoundTrip,204,24,6,1,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,310,44,13,2,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,115,20,7,1,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,57,24,12,4,AKLKUL,New Zealand,1,0,0,8.83,0
4,Internet,RoundTrip,368,36,16,7,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,59,37,15,7,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,6,21,21,7,AKLKUL,New Zealand,0,0,0,8.83,0
3,Internet,RoundTrip,67,22,7,3,AKLKUL,Vietnam,1,1,0,8.83,0
1,Internet,RoundTrip,169,22,9,6,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,214,38,12,4,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,5,19,14,4,AKLKUL,Malaysia,1,0,0,8.83,0
2,Internet,RoundTrip,14,17,10,6,AKLKUL,(not set),1,0,0,8.83,1
2,Internet,RoundTrip,173,64,14,4,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,7,22,7,1,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,196,86,3,7,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,155,24,7,7,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,245,19,9,6,AKLKUL,New Zealand,0,0,0,8.83,0
1,Mobile,RoundTrip,22,82,10,5,AKLKUL,Malaysia,1,1,1,8.83,1
1,Internet,RoundTrip,325,22,4,3,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,OneWay,6,1,23,7,AKLKUL,New Zealand,1,0,0,8.83,0
2,Internet,RoundTrip,130,18,10,1,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,RoundTrip,218,17,2,5,AKLKUL,Malaysia,1,0,1,8.83,1
1,Internet,RoundTrip,189,35,8,7,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,35,41,15,4,AKLKUL,Malaysia,1,1,1,8.83,0
1,Internet,RoundTrip,189,60,8,2,AKLKUL,New Zealand,0,1,1,8.83,0
4,Internet,RoundTrip,226,17,6,7,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,122,30,13,4,AKLKUL,India,1,0,0,8.83,0
2,Internet,RoundTrip,88,30,8,3,AKLKUL,Malaysia,1,0,1,8.83,0
4,Internet,RoundTrip,211,21,10,5,AKLKUL,Malaysia,1,0,0,8.83,1
1,Internet,RoundTrip,259,82,9,7,AKLKUL,Malaysia,1,0,1,8.83,1
5,Internet,RoundTrip,188,17,12,4,AKLKUL,Malaysia,1,0,1,8.83,1
1,Internet,RoundTrip,129,25,9,1,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,190,69,21,4,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,172,54,8,2,AKLKUL,Malaysia,1,1,1,8.83,0
1,Internet,RoundTrip,149,17,4,1,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,15,28,7,7,AKLKUL,Saudi Arabia,0,0,0,8.83,1
4,Internet,RoundTrip,38,17,4,7,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,214,23,8,7,AKLKUL,New Zealand,1,1,0,8.83,0
2,Internet,RoundTrip,9,84,13,5,AKLKUL,Malaysia,1,1,1,8.83,0
1,Internet,RoundTrip,70,20,14,6,AKLKUL,Malaysia,0,0,0,8.83,0
3,Internet,RoundTrip,35,17,3,7,AKLKUL,Malaysia,1,0,1,8.83,0
4,Internet,RoundTrip,53,42,23,6,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,77,28,15,3,AKLKUL,Malaysia,1,1,0,8.83,0
2,Internet,RoundTrip,259,39,21,4,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,106,27,7,7,AKLKUL,Malaysia,0,0,0,8.83,0
1,Internet,RoundTrip,194,86,3,7,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,134,26,15,3,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,3,36,16,7,AKLKUL,Malaysia,0,0,1,8.83,1
1,Internet,RoundTrip,149,17,2,4,AKLKUL,New Zealand,1,0,1,8.83,0
2,Internet,RoundTrip,9,44,8,5,AKLKUL,Malaysia,1,0,1,8.83,1
1,Internet,RoundTrip,37,95,17,2,AKLKUL,Netherlands,1,0,1,8.83,0
2,Internet,RoundTrip,183,34,11,5,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,40,31,5,5,AKLKUL,New Zealand,1,1,1,8.83,0
1,Internet,RoundTrip,95,83,6,3,AKLKUL,New Zealand,0,0,0,8.83,1
1,Internet,RoundTrip,135,24,4,5,AKLKUL,New Zealand,0,0,0,8.83,0
1,Mobile,RoundTrip,15,90,13,5,AKLKUL,Germany,1,0,1,8.83,0
1,Internet,RoundTrip,222,23,9,6,AKLKUL,Malaysia,0,0,1,8.83,1
2,Internet,RoundTrip,64,29,12,1,AKLKUL,Malaysia,1,0,0,8.83,1
1,Internet,RoundTrip,162,19,8,2,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,22,27,9,7,AKLKUL,New Zealand,0,0,1,8.83,0
2,Internet,RoundTrip,150,31,8,7,AKLKUL,New Zealand,1,0,1,8.83,0
1,Internet,RoundTrip,73,27,12,5,AKLKUL,New Zealand,0,0,0,8.83,0
3,Internet,RoundTrip,133,19,9,6,AKLKUL,New Zealand,0,0,0,8.83,0
1,Internet,OneWay,24,1,0,3,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,66,20,14,7,AKLKUL,Malaysia,0,1,1,8.83,0
3,Internet,RoundTrip,89,22,6,6,AKLKUL,Malaysia,1,0,0,8.83,0
2,Internet,RoundTrip,105,91,12,6,AKLKUL,Malaysia,1,1,1,8.83,0
1,Internet,RoundTrip,115,95,9,4,AKLKUL,New Zealand,1,0,0,8.83,0
1,Internet,RoundTrip,151,39,7,7,AKLKUL,New Zealand,1,0,1,8.83,0
3,Internet,RoundTrip,349,18,20,1,AKLKUL,New Zealand,1,1,0,8.83,0
1,Internet,RoundTrip,13,18,9,5,AKLKUL,Malaysia,1,0,1,8.83,1
2,Internet,RoundTrip,29,20,1,5,AKLKUL,New Zealand,0,0,0,8.83,0
1,Mobile,RoundTrip,69,28,14,4,AKLKUL,Malaysia,1,1,1,8.83,0
5,Internet,RoundTrip,206,17,13,7,AKLKUL,Malaysia,1,0,0,8.83,0
1,Internet,RoundTrip,6,21,3,5,AKLKUL,Malaysia,1,0,0,8.83,0
2,Mobile,RoundTrip,23,31,4,1,AKLKUL,Indonesia,1,0,0,8.83,0
1,Internet,RoundTrip,197,19,3,1,AKLKUL,New Zealand,0,0,0,8.83,1
2,Internet,RoundTrip,368,65,2,7,AKLKUL,Malaysia,1,0,1,8.83,1
1,Internet,RoundTrip,25,19,6,5,AKLKUL,Malaysia,1,1,0,8.83,0
1,Internet,RoundTrip,189,33,11,5,AKLKUL,Qatar,1,1,1,8.83,1
1,Mobile,RoundTrip,123,70,22,2,AKLKUL,Malaysia,0,0,0,8.83,0
